feel_depressed,comparison_frequency,seeks_validation,distractibility_scale,difficulty_concentrating,interest_fluctuation,sleep_issues,usage_without_purpose,distraction_while_busy,age,gender,relationship_status,occupation_status
2,1,3,3,2,2,2,5,4,20,Female,In a relationship,School Student
2,2,4,2,1,2,1,4,2,27,Female,Married,Salaried Worker
5,2,3,4,4,4,3,5,4,22,Female,Single,University Student
5,4,4,5,5,5,5,4,4,21,Female,Single,University Student
1,3,2,2,2,4,4,2,1,21,Female,Single,University Student
5,3,4,5,5,5,5,3,4,24,Female,Single,University Student
4,2,2,3,3,4,3,4,2,19,Male,Single,University Student
3,3,2,4,4,4,5,5,4,26,Male,Single,University Student
1,1,1,2,1,1,1,1,1,44,Male,Married,Salaried Worker
1,1,1,1,1,1,1,1,1,44,Male,Married,Salaried Worker
5,5,1,4,3,4,5,4,5,19,Female,Single,University Student
5,5,1,5,5,5,5,5,5,35,Male,Single,Salaried Worker
4,4,4,5,5,3,3,3,5,21,Female,In a relationship,University Student
4,2,1,5,5,5,1,4,5,20,Female,Single,University Student
4,3,4,2,1,2,5,5,2,24,Female,In a relationship,University Student
3,5,1,5,5,3,1,4,4,21,Female,Single,University Student
3,2,1,4,3,3,3,3,4,24,Male,Single,University Student
5,5,1,5,5,4,5,5,3,21,Female,In a relationship,University Student
5,3,1,5,5,4,5,2,4,17,Male,Single,School Student
4,3,2,4,4,3,4,4,4,26,Female,In a relationship,University Student
5,4,3,5,4,3,5,4,5,18,Male,Single,School Student
2,1,1,3,2,2,2,2,1,18,Female,Single,School Student
3,1,1,3,4,5,5,5,3,18,Female,In a relationship,School Student
4,2,2,4,4,3,3,3,4,23,Male,Single,University Student
3,1,3,5,5,2,1,4,5,20,Male,Single,University Student
3,4,2,4,4,3,5,4,4,23,Male,Single,University Student
2,3,3,2,3,2,4,2,2,25,Male,In a relationship,University Student
5,4,4,3,4,5,4,4,3,26,Male,Single,Salaried Worker
4,5,4,4,4,4,5,4,5,20,Male,In a relationship,University Student
1,2,3,3,2,4,3,4,3,19,Male,In a relationship,School Student
4,5,1,2,4,4,1,4,1,17,Female,Single,School Student
3,4,3,3,5,3,3,4,3,24,Female,Married,University Student
4,3,4,4,4,4,3,5,5,29,Female,Married,Salaried Worker
3,2,3,2,3,3,2,1,5,30,Female,Married,Retired
5,5,3,4,5,4,4,4,5,21,Female,Single,University Student
5,3,3,4,4,5,5,4,3,23,Male,Single,University Student
5,4,4,3,3,3,5,5,5,21,Male,Single,University Student
5,5,5,5,5,5,5,3,5,20,Female,Single,University Student
5,5,3,5,4,5,5,4,3,21,Male,Single,University Student
4,2,1,3,2,3,5,3,1,22,Female,Single,University Student
3,5,5,2,3,3,5,3,2,22,Female,Single,University Student
3,1,2,3,2,3,4,1,5,22,Female,In a relationship,University Student
2,4,4,4,3,1,2,4,3,27,Female,In a relationship,Salaried Worker
2,2,1,2,3,2,5,5,4,21,Male,Single,University Student
4,4,4,4,3,3,4,4,3,23,Male,In a relationship,University Student
2,3,4,4,4,3,4,4,4,22,Male,In a relationship,University Student
1,2,3,3,3,3,2,3,4,21,Female,In a relationship,University Student
3,3,1,2,2,2,2,4,2,23,Male,Single,University Student
4,3,4,4,4,4,3,4,5,21,Female,Single,University Student
3,2,3,3,2,4,3,5,3,20,Male,Single,University Student
3,3,1,2,3,2,4,2,1,23,Male,Single,University Student
5,5,3,5,5,4,5,3,5,22,Female,In a relationship,University Student
5,5,4,3,5,5,3,5,3,20,Female,In a relationship,University Student
4,4,4,4,5,4,5,4,4,21,Male,Single,University Student
2,1,1,2,3,4,5,3,5,25,Female,Single,University Student
2,2,1,4,4,2,2,2,2,21,Female,Single,University Student
4,1,1,4,4,1,5,4,3,28,Female,Single,University Student
3,1,1,5,5,4,3,1,1,22,Female,Single,Salaried Worker
1,3,1,1,1,2,1,2,1,34,Female,Married,Salaried Worker
4,2,3,3,2,2,2,3,3,23,Female,Single,School Student
2,3,1,3,2,2,3,3,5,21,Female,Single,University Student
3,1,1,4,5,5,2,2,2,22,Female,Single,University Student
5,2,2,5,5,5,2,5,4,28,Female,Married,Salaried Worker
3,1,1,3,4,2,3,2,4,23,Male,In a relationship,School Student
1,1,1,3,1,2,4,3,3,18,Male,Single,University Student
5,5,2,3,3,2,1,2,3,18,Male,Single,School Student
1,3,3,3,3,1,1,1,1,15,Male,Single,School Student
5,5,2,3,3,4,5,2,2,20,Female,Single,University Student
4,1,2,4,3,3,4,5,4,20,Female,Single,University Student
2,1,2,3,2,4,4,3,2,35,Female,Married,Salaried Worker
4,4,3,3,4,3,4,4,4,26,Female,Married,University Student
4,4,2,3,5,2,1,2,4,30,Female,Married,Salaried Worker
5,5,4,5,5,5,4,5,5,32,Female,Married,Salaried Worker
3,4,4,4,4,4,4,3,4,24,Male,Single,Salaried Worker
4,4,4,3,4,4,1,2,1,26,Female,Married,Salaried Worker
2,3,4,3,3,2,2,3,3,29,Female,Married,Salaried Worker
4,2,4,3,2,5,4,2,3,21,Male,Single,University Student
